# Online RefPMT LMS + Module Gain Results (Run: 1508)
# Trigger Condition: 1200 LMS events per fit
# Fit Event Absolute Time Range:
#   Start Time (UTC): 2016-06-22 00:16:34.000000 UTC
#   End Time (UTC):   2016-06-22 00:16:59.100982 UTC
#   Start Time (EDT): 2016-06-21 20:16:34.000000 EDT
#   End Time (EDT):   2016-06-21 20:16:59.100982 EDT
#   Average Time (UTC): 2016-06-22 00:16:46.550490 (UTC)
#   Average Time (seconds since epoch, UTC): 1466554606.550491
#   Average Time (EDT): 2016-06-21 20:16:46.550490 (EDT)
#   Average Time (seconds since epoch, EDT): 1466540206.550491
# Formula: Module Gain = (Module LMS Mean - Module Pedestal Mean) × RefPMT Alpha Signal / RefPMT LMS Signal
# Reference PMT Params:
# RefPMT1: AlphaSignal=-571.909748, AlphaError=0.097112, LMSSignal=2305.068864, LMSError=2.653441, Valid=No
# RefPMT2: AlphaSignal=2074.187824, AlphaError=2.141396, LMSSignal=2277.837960, LMSError=2.299328, Valid=Yes
# RefPMT3: AlphaSignal=5497.113135, AlphaError=7.389315, LMSSignal=1267.818671, LMSError=2.442571, Valid=Yes
# Note: -1.0 = Fit failed / Invalid data

# G module
# module name	LMS_Mean	LMS_Err	Pedestal_Mean	Pedestal_Err	module signal(LMS-Pedestal)	signal error	gain1(RefPMT1)	gain1 error	gain2(RefPMT2)	gain2 error	gain3(RefPMT3)	gain3 error
G1	3089.874578	2.458720	623.437030	0.050244	2466.437548	2.459234	0.000000	0.000000	2245.925663	3.940930	10694.184075	27.291865
G2	3108.519834	2.644504	664.541519	0.045782	2443.978315	2.644900	0.000000	0.000000	2225.474398	4.015728	10596.803474	27.408390
G3	4565.508852	3.633637	680.454342	0.054512	3885.054509	3.634046	0.000000	0.000000	3537.711153	6.086271	16845.140919	42.594032
G4	3361.764818	3.053807	592.285951	0.042018	2769.478867	3.054096	0.000000	0.000000	2521.873568	4.581844	12008.135711	31.162866
G5	3486.891421	3.730870	538.693519	0.039497	2948.197902	3.731079	0.000000	0.000000	2684.614225	5.154472	12783.040494	34.110100
G6	2871.079816	2.696801	510.876487	0.042206	2360.203329	2.697131	0.000000	0.000000	2149.189315	3.957485	10233.564954	26.734040
G7	2341.559595	2.072681	537.125057	0.045772	1804.434538	2.073187	0.000000	0.000000	1643.109042	3.031915	7823.816629	20.460060
G8	4588.639565	3.313590	543.793405	0.043637	4044.846160	3.313877	0.000000	0.000000	3683.216629	6.114626	17537.978785	43.633666
G9	3089.014988	2.098475	643.547696	0.044775	2445.467292	2.098953	0.000000	0.000000	2226.830252	3.740476	10603.259501	26.519531
G10	3456.460693	2.247456	598.743162	0.046101	2857.717531	2.247929	0.000000	0.000000	2602.223252	4.278722	12390.728211	30.696637
G11	3655.598061	2.682715	452.151606	0.066288	3203.446455	2.683534	0.000000	0.000000	2917.042277	4.869414	13889.768298	34.642175
G12	2444.662890	2.022455	511.966581	0.051063	1932.696308	2.023099	0.000000	0.000000	1759.903566	3.138630	8379.944629	21.551977
G13	2093.354763	1.818351	608.190511	0.056273	1485.164253	1.819222	0.000000	0.000000	1352.383121	2.560710	6439.498098	17.060583
G14	1986.731574	1.580210	435.368024	0.046814	1551.363550	1.580903	0.000000	0.000000	1412.663869	2.496564	6726.530490	17.224553
G15	3658.748654	2.151207	529.081879	0.051911	3129.666775	2.151834	0.000000	0.000000	2849.858871	4.557593	13569.868256	33.215485
G16	2960.665718	2.308123	378.625400	0.043771	2582.040317	2.308538	0.000000	0.000000	2351.192964	3.993003	11195.424131	28.140526
G17	3842.022948	3.913498	310.891118	0.050160	3531.131830	3.913820	0.000000	0.000000	3215.430937	5.852887	15310.573672	39.769726
G18	3155.056242	4.018038	381.796814	0.050561	2773.259428	4.018356	0.000000	0.000000	2525.316128	5.165683	12024.527779	33.188967
G19	3196.742729	2.734678	561.966292	0.052925	2634.776438	2.735190	0.000000	0.000000	2399.214211	4.266614	11424.081767	29.340898
G20	2587.700383	2.467481	443.572072	0.051795	2144.128311	2.468024	0.000000	0.000000	1952.432487	3.605269	9296.689006	24.320442
G21	3126.575079	2.173897	471.186397	0.051235	2655.388682	2.174500	0.000000	0.000000	2417.983617	4.013715	11513.454040	28.643480
G22	4484.109666	2.894359	531.757994	0.051477	3952.351673	2.894817	0.000000	0.000000	3598.991613	5.826882	17136.933530	42.169170
G23	794.012522	0.849047	392.341937	0.051534	401.670585	0.850609	0.000000	0.000000	365.759221	0.937470	1741.596571	5.508305
G24	3267.555374	2.485103	522.261405	0.041647	2745.293968	2.485452	0.000000	0.000000	2499.850921	4.260373	11903.272824	29.967757
G25	3180.343291	2.719230	371.151684	0.091322	2809.191607	2.720763	0.000000	0.000000	2558.035790	4.447487	12180.325494	30.950296
