# Online RefPMT LMS + Module Gain Results (Run: 1059)
# Trigger Condition: 1200 LMS events per fit
# Fit Event Absolute Time Range:
#   Start Time (UTC): 2016-06-05 00:25:45.816143 UTC
#   End Time (UTC):   2016-06-05 00:25:21.930937 UTC
#   Start Time (EDT): 2016-06-04 20:25:45.816143 EDT
#   End Time (EDT):   2016-06-04 20:25:21.930937 EDT
#   Average Time (UTC): 2016-06-05 00:25:33.873539 (UTC)
#   Average Time (seconds since epoch, UTC): 1465086333.873540
#   Average Time (EDT): 2016-06-04 20:25:33.873539 (EDT)
#   Average Time (seconds since epoch, EDT): 1465071933.873540
# Formula: Module Gain = (Module LMS Mean - Module Pedestal Mean) × RefPMT Alpha Signal / RefPMT LMS Signal
# Reference PMT Params:
# RefPMT1: AlphaSignal=4533.444371, AlphaError=4.741204, LMSSignal=2372.596951, LMSError=1.554681, Valid=Yes
# RefPMT2: AlphaSignal=1922.005803, AlphaError=1.869887, LMSSignal=2373.460360, LMSError=1.289192, Valid=Yes
# RefPMT3: AlphaSignal=5380.960135, AlphaError=5.132872, LMSSignal=1338.008817, LMSError=1.387273, Valid=Yes
# Note: -1.0 = Fit failed / Invalid data

# G module
# module name	LMS_Mean	LMS_Err	Pedestal_Mean	Pedestal_Err	module signal(LMS-Pedestal)	signal error	gain1(RefPMT1)	gain1 error	gain2(RefPMT2)	gain2 error	gain3(RefPMT3)	gain3 error
G1	5430.189350	4.538132	501.394929	0.045405	4928.794420	4.538359	9417.703800	14.501350	3991.291213	5.769286	19821.728269	33.361529
G2	4891.375566	4.305301	649.458495	0.044395	4241.917071	4.305530	8105.251530	12.951541	3435.064417	5.177443	17059.369970	29.622097
G3	7152.106340	6.091695	452.298673	0.058655	6699.807667	6.091977	12801.670904	19.624228	5425.441029	7.802679	26944.066988	45.180091
G4	5686.352788	4.958635	512.991662	0.039730	5173.361126	4.958794	9885.010122	15.446887	4189.339024	6.157479	20805.282130	35.452585
G5	5650.411987	5.760259	304.032385	0.034459	5346.379602	5.760362	10215.605520	16.736111	4329.447753	6.710497	21501.096343	38.135028
G6	5379.199786	5.154166	421.285074	0.038421	4957.914712	5.154309	9473.345456	15.286832	4014.872551	6.118340	19938.838959	34.911212
G7	4354.575686	4.062644	539.311268	0.043441	3815.264419	4.062876	7290.024121	11.883281	3089.565125	4.761888	15343.535991	27.097406
G8	7677.870452	5.756263	547.212524	0.043505	7130.657928	5.756427	13624.918902	20.093075	5774.339505	7.945192	28676.782144	46.564314
G9	5787.101302	3.699656	644.107112	0.040330	5142.994190	3.699876	9826.986439	14.038041	4164.748166	5.523707	20683.157916	32.718948
G10	6241.498937	3.925614	597.261670	0.043784	5644.237267	3.925858	10784.737651	15.278291	4570.650080	6.003626	22698.966087	35.664846
G11	6501.303443	4.758751	450.306015	0.049864	6050.997428	4.759012	11561.955442	16.920346	4900.040620	6.682929	24334.800064	39.264834
G12	5010.210770	4.543452	512.256961	0.047904	4497.953809	4.543704	8594.474240	13.706976	3642.400552	5.478128	18089.051921	31.359111
G13	3824.233655	3.960660	610.705887	0.049620	3213.527768	3.960971	6140.254611	10.710150	2602.284463	4.323881	12923.581055	24.192288
G14	3462.734791	2.925492	438.366924	0.046192	3024.367867	2.925857	5778.816953	9.061962	2449.104561	3.613945	12162.852198	20.786829
G15	6470.526701	3.772871	530.538910	0.043694	5939.987791	3.773124	11349.843555	15.753886	4810.146063	6.169419	23888.361711	36.918131
G16	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
G17	6937.536023	7.408657	315.602392	0.046415	6621.933631	7.408802	12652.872934	21.077213	5362.379370	8.467314	26630.887366	47.911066
G18	5952.052187	8.343280	383.838596	0.038881	5568.213591	8.343370	10639.475259	20.653494	4509.086824	8.419704	22393.227903	46.056561
G19	5221.167024	4.690484	561.960950	0.046451	4659.206074	4.690714	8902.587327	14.179171	3772.981114	5.665889	18737.546927	32.446161
G20	4818.703890	4.572728	446.494707	0.043609	4372.209183	4.572936	8354.207443	13.514869	3540.573740	5.410782	17583.355068	30.852835
G21	5597.210782	3.615151	473.192915	0.040938	5124.017867	3.615383	9790.727391	13.918568	4149.381318	5.472422	20606.842392	32.469654
G22	7200.867151	5.498969	540.175675	0.043608	6660.691475	5.499142	12726.929562	18.897513	5393.765106	7.479984	26786.756607	43.741579
