# Online RefPMT LMS + Module Gain Results (Run: 1059)
# Trigger Condition: 1200 LMS events per fit
# Fit Event Absolute Time Range:
#   Start Time (UTC): 2016-06-05 00:24:45.000000 UTC
#   End Time (UTC):   2016-06-05 00:25:52.691561 UTC
#   Start Time (EDT): 2016-06-04 20:24:45.000000 EDT
#   End Time (EDT):   2016-06-04 20:25:52.691561 EDT
#   Average Time (UTC): 2016-06-05 00:25:18.845780 (UTC)
#   Average Time (seconds since epoch, UTC): 1465086318.845780
#   Average Time (EDT): 2016-06-04 20:25:18.845780 (EDT)
#   Average Time (seconds since epoch, EDT): 1465071918.845780
# Formula: Module Gain = (Module LMS Mean - Module Pedestal Mean) × RefPMT Alpha Signal / RefPMT LMS Signal
# Reference PMT Params:
# RefPMT1: AlphaSignal=4528.157065, AlphaError=15.045291, LMSSignal=2373.238314, LMSError=3.013946, Valid=Yes
# RefPMT2: AlphaSignal=1914.374845, AlphaError=3.725524, LMSSignal=2362.321505, LMSError=2.370777, Valid=Yes
# RefPMT3: AlphaSignal=5365.119610, AlphaError=16.621538, LMSSignal=1338.282555, LMSError=2.528815, Valid=Yes
# Note: -1.0 = Fit failed / Invalid data

# G module
# module name	LMS_Mean	LMS_Err	Pedestal_Mean	Pedestal_Err	module signal(LMS-Pedestal)	signal error	gain1(RefPMT1)	gain1 error	gain2(RefPMT2)	gain2 error	gain3(RefPMT3)	gain3 error
G1	5420.776461	4.558462	501.365252	0.045347	4919.411209	4.558687	9386.274648	34.501775	3986.585673	9.478620	19721.716797	73.863988
G2	4887.435486	4.570865	649.412136	0.043173	4238.023350	4.571069	8086.181342	30.056129	3434.403520	8.382858	16990.060954	64.320310
G3	7153.812162	5.911166	452.345845	0.064448	6701.466317	5.911518	12786.449582	46.859666	5430.725035	12.819888	26865.902283	100.331760
G4	5690.772827	4.598051	512.956086	0.039268	5177.816742	4.598219	9879.314404	36.219789	4195.991992	9.914488	20757.653928	77.549476
G5	5653.436494	6.085643	304.047513	0.033657	5349.388981	6.085736	10206.675564	38.117255	4335.030467	10.696764	21445.479964	81.557388
G6	5358.633372	4.911842	421.261485	0.037723	4937.371887	4.911987	9420.543761	34.795229	4001.140622	9.622837	19793.720414	74.479075
G7	4372.071287	4.063244	539.313611	0.042667	3832.757676	4.063468	7312.931301	27.143257	3105.984881	7.556170	15365.367568	58.089732
G8	7677.230406	5.724819	547.225444	0.042321	7130.004962	5.724976	13604.104633	49.607936	5778.003591	13.475400	28583.896050	106.235830
G9	5794.729817	3.759168	644.143682	0.038130	5150.586135	3.759361	9827.358196	35.684668	4173.924891	9.633662	20648.487549	76.431151
G10	6234.733210	4.161629	597.234513	0.043168	5637.498696	4.161853	10756.391130	39.076294	4568.508421	10.556516	22600.499941	83.694035
G11	6507.341246	4.884403	450.232166	0.048083	6057.109080	4.884640	11557.010988	42.152022	4908.551705	11.453582	24282.700673	90.268213
G12	5011.953625	4.277841	512.232099	0.048665	4499.721526	4.278118	8585.503485	31.611074	3646.478126	8.704566	18039.198153	67.671207
G13	3821.211178	3.678101	610.564267	0.053839	3210.646910	3.678495	6125.939146	22.892678	2601.839617	6.429789	12871.351145	48.981046
G14	3463.947234	2.921135	438.246970	0.047437	3025.700264	2.921520	5773.059514	21.278149	2451.962809	5.867684	12129.907663	45.549317
G15	6467.844607	3.967020	530.417285	0.043279	5937.427323	3.967256	11328.657270	41.001310	4811.564168	11.015073	23802.901442	87.829487
G16	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
G17	6947.939152	7.409105	315.626186	0.047280	6632.312965	7.409256	12654.504452	47.180374	5374.684637	13.211678	26588.669346	100.955233
G18	5941.352168	7.858329	383.843649	0.039144	5557.508519	7.858426	10603.769253	40.589040	4503.686091	11.738861	22279.822616	86.771520
G19	5238.096390	5.084639	561.953891	0.044582	4676.142499	5.084834	8922.116068	33.186182	3789.445912	9.264270	18746.462566	71.016880
G20	4826.781507	4.592397	446.444160	0.041884	4380.337346	4.592588	8357.717548	30.993287	3549.731740	8.617629	17560.591898	66.331399
G21	5599.356505	3.863652	473.170265	0.040990	5126.186240	3.863869	9780.803007	35.563265	4154.151738	9.619831	20550.669375	76.167283
G22	7202.652069	5.279533	540.114237	0.042465	6662.537832	5.279704	12712.173732	46.326279	5399.178223	12.572512	26709.839591	99.210468
G23	1189.254450	1.716540	393.970806	0.044211	795.283644	1.717109	1517.407346	6.314007	644.480863	1.981836	3188.259354	13.462770
G24	5841.738232	4.981980	524.329212	0.038636	5317.409020	4.982130	10145.657551	37.319504	4309.114590	10.262809	21317.273619	79.894315
G25	5863.007497	4.644223	373.198566	0.082117	5489.808931	4.644949	10474.597916	38.298150	4448.823793	10.443168	22008.417758	82.007666
G26	7033.510983	5.327537	396.385966	0.084963	6637.125017	5.328214	12663.685884	46.178236	5378.584220	12.543597	26607.960662	98.891132
G27	3733.985275	4.564824	416.757464	0.106199	3317.227812	4.566060	6329.296330	24.140452	2688.210500	6.952577	13298.629587	51.613943
G28	3077.056817	3.895161	517.976860	0.084397	2559.079956	3.896075	4882.744356	18.892127	2073.823687	5.530640	10259.246079	40.373097
G29	6807.819715	8.352908	335.141099	0.062298	6472.678616	8.353141	12349.920878	46.731033	5245.320372	13.331623	25948.701816	99.941552
G30	6281.743620	4.910448	435.671192	0.075789	5846.072427	4.911033	11154.351422	40.767968	4737.532113	11.110588	23436.663431	87.297516
G31	3702.119622	5.076108	383.105689	0.037802	3319.013933	5.076248	6332.704264	24.519715	2689.657935	7.183751	13305.790074	52.398197
G32	5412.111994	4.047779	357.865550	0.038930	5054.246444	4.047966	9643.541320	35.161256	4095.853265	9.549437	20262.265697	75.298483
G33	3701.810551	2.697426	465.948818	0.041813	3235.861733	2.697750	6174.049223	22.556510	2622.273170	6.143878	12972.436331	48.301560
G34	1439.067769	2.082916	509.490153	0.041928	929.577616	2.083338	1773.641284	7.456760	753.309827	2.360304	3726.638354	15.894656
G35	5506.685561	3.611315	518.388072	0.047877	4988.297489	3.611632	9517.710203	34.549103	4042.409641	9.322642	19997.879053	73.999845
G36	3823.225391	3.230143	515.805005	0.035815	3307.420386	3.230341	6310.583686	23.277831	2680.262772	6.426109	13259.312021	49.828512
G37	4485.163700	4.109652	494.755320	0.071690	3990.408379	4.110277	7613.730062	28.195003	3233.741641	7.824970	15997.382739	60.345599
G38	4305.358282	4.581607	354.779242	0.036805	3950.579040	4.581754	7537.735374	28.201219	3201.464796	7.932565	15837.708560	60.336685
G39	5039.079668	4.724302	473.666064	0.035206	4565.413605	4.724433	8710.844481	32.269450	3699.713583	8.960084	18302.554991	69.065210
G40	6961.268306	8.154756	469.856795	0.043405	6491.411511	8.154871	12385.663388	46.723231	5260.501111	13.279584	26023.801224	99.935524
G41	5717.571832	5.251253	292.079767	0.062447	5425.492066	5.251624	10351.880839	38.161091	4396.702780	10.525791	21750.574095	81.689476
G42	4767.012525	4.613328	382.114205	0.053934	4384.898320	4.613643	8366.419920	31.034351	3553.427855	8.632306	17578.876652	66.418605
G43	4990.134391	4.291153	384.508475	0.046379	4605.625916	4.291404	8787.569881	32.312404	3732.300780	8.881462	18463.764489	69.175927
G44	1923.394861	2.985235	259.863828	0.031073	1663.531033	2.985397	3174.030082	12.645709	1348.089985	3.816556	6669.027355	26.998675
