# Online RefPMT LMS + Module Gain Results (Run: 1308)
# Trigger Condition: 1200 LMS events per fit
# Fit Event Absolute Time Range:
#   Start Time (UTC): 2016-06-11 20:05:17.930331 UTC
#   End Time (UTC):   2016-06-11 20:05:27.406742 UTC
#   Start Time (EDT): 2016-06-11 16:05:17.930331 EDT
#   End Time (EDT):   2016-06-11 16:05:27.406742 EDT
#   Average Time (UTC): 2016-06-11 20:05:22.668536 (UTC)
#   Average Time (seconds since epoch, UTC): 1465675522.668537
#   Average Time (EDT): 2016-06-11 16:05:22.668536 (EDT)
#   Average Time (seconds since epoch, EDT): 1465661122.668537
# Formula: Module Gain = (Module LMS Mean - Module Pedestal Mean) × RefPMT Alpha Signal / RefPMT LMS Signal
# Reference PMT Params:
# RefPMT1: AlphaSignal=0.000000, AlphaError=0.000000, LMSSignal=0.000000, LMSError=0.000000, Valid=No
# RefPMT2: AlphaSignal=0.000000, AlphaError=0.000000, LMSSignal=0.000000, LMSError=0.000000, Valid=No
# RefPMT3: AlphaSignal=0.000000, AlphaError=0.000000, LMSSignal=0.000000, LMSError=0.000000, Valid=No
# Note: -1.0 = Fit failed / Invalid data

# G module
# module name	LMS_Mean	LMS_Err	Pedestal_Mean	Pedestal_Err	module signal(LMS-Pedestal)	signal error	gain1(RefPMT1)	gain1 error	gain2(RefPMT2)	gain2 error	gain3(RefPMT3)	gain3 error
G1	5729.632322	5.086944	-1.000000	-1.000000	-1.000000	-1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
G2	5505.714231	5.850643	-1.000000	-1.000000	-1.000000	-1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
G3	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
G4	6166.951734	5.610360	-1.000000	-1.000000	-1.000000	-1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
G5	6400.413080	7.092831	-1.000000	-1.000000	-1.000000	-1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
G6	5681.987100	6.238547	-1.000000	-1.000000	-1.000000	-1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
G7	4411.956883	4.416900	-1.000000	-1.000000	-1.000000	-1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
G8	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
G9	5925.640780	4.524779	-1.000000	-1.000000	-1.000000	-1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
G10	6550.242110	4.900193	-1.000000	-1.000000	-1.000000	-1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
G11	7049.141913	5.600549	-1.000000	-1.000000	-1.000000	-1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
G12	4969.668463	4.911457	-1.000000	-1.000000	-1.000000	-1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
G13	3772.869828	4.099424	-1.000000	-1.000000	-1.000000	-1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
G14	3506.143931	3.140719	-1.000000	-1.000000	-1.000000	-1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
G15	6965.943451	4.414090	-1.000000	-1.000000	-1.000000	-1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
G16	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
G17	7475.791951	8.610758	-1.000000	-1.000000	-1.000000	-1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
G18	6225.318833	9.108244	-1.000000	-1.000000	-1.000000	-1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
G19	5819.107990	5.792273	-1.000000	-1.000000	-1.000000	-1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
G20	4996.919464	5.221126	-1.000000	-1.000000	-1.000000	-1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
G21	5967.322613	4.548301	-1.000000	-1.000000	-1.000000	-1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
G22	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
G23	1195.342440	1.561734	-1.000000	-1.000000	-1.000000	-1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
G24	6200.438818	5.300736	-1.000000	-1.000000	-1.000000	-1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
G25	6202.392276	6.080556	-1.000000	-1.000000	-1.000000	-1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
G26	7672.314603	6.210444	-1.000000	-1.000000	-1.000000	-1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
G27	3966.491926	4.773005	-1.000000	-1.000000	-1.000000	-1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
G28	3299.713252	4.768592	-1.000000	-1.000000	-1.000000	-1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
G29	7445.863754	10.811309	-1.000000	-1.000000	-1.000000	-1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
G30	6676.977938	5.678713	-1.000000	-1.000000	-1.000000	-1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
G31	3881.183258	5.437475	-1.000000	-1.000000	-1.000000	-1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
G32	5985.322344	4.551485	-1.000000	-1.000000	-1.000000	-1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
G33	4013.430749	3.043445	-1.000000	-1.000000	-1.000000	-1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
G34	1540.457018	2.133625	-1.000000	-1.000000	-1.000000	-1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
G35	5903.431606	2.816556	-1.000000	-1.000000	-1.000000	-1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
G36	4056.977849	3.494849	-1.000000	-1.000000	-1.000000	-1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
