# Online RefPMT LMS + Module Gain Results (Run: 1400)
# Trigger Condition: 1200 LMS events per fit
# Fit Event Absolute Time Range:
#   Start Time (UTC): 2016-06-17 08:03:34.739476 UTC
#   End Time (UTC):   2016-06-17 08:03:23.452030 UTC
#   Start Time (EDT): 2016-06-17 04:03:34.739476 EDT
#   End Time (EDT):   2016-06-17 04:03:23.452030 EDT
#   Average Time (UTC): 2016-06-17 08:03:29.95752 (UTC)
#   Average Time (seconds since epoch, UTC): 1466150609.095753
#   Average Time (EDT): 2016-06-17 04:03:29.95752 (EDT)
#   Average Time (seconds since epoch, EDT): 1466136209.095753
# Formula: Module Gain = (Module LMS Mean - Module Pedestal Mean) × RefPMT Alpha Signal / RefPMT LMS Signal
# Reference PMT Params:
# RefPMT1: AlphaSignal=4545.398686, AlphaError=5.274265, LMSSignal=2361.844604, LMSError=0.968126, Valid=Yes
# RefPMT2: AlphaSignal=1960.720451, AlphaError=3.270839, LMSSignal=2360.081009, LMSError=0.800864, Valid=Yes
# RefPMT3: AlphaSignal=5423.406137, AlphaError=4.625225, LMSSignal=1329.907546, LMSError=0.895722, Valid=Yes
# Note: -1.0 = Fit failed / Invalid data

# G module
# module name	LMS_Mean	LMS_Err	Pedestal_Mean	Pedestal_Err	module signal(LMS-Pedestal)	signal error	gain1(RefPMT1)	gain1 error	gain2(RefPMT2)	gain2 error	gain3(RefPMT3)	gain3 error
G1	3087.868881	2.186409	622.508932	0.047652	2465.359949	2.186928	4744.615227	7.197626	2048.184639	3.931694	10053.817892	14.103412
G2	3005.259594	2.481589	663.407967	0.045210	2341.851627	2.482001	4506.921957	7.319706	1945.575749	3.901476	9550.146945	14.496788
G3	4463.132903	3.703308	678.820962	0.061742	3784.311941	3.703822	7282.954388	11.451510	3143.950477	6.173598	15432.546927	22.569849
G4	3339.072769	2.511109	590.801838	0.041778	2748.270931	2.511456	5289.080854	8.107190	2283.222905	4.411450	11207.538058	15.913255
G5	3426.115864	3.124721	538.216408	0.035550	2887.899457	3.124924	5557.797652	9.107540	2399.224223	4.839580	11776.947719	18.060752
G6	2936.720691	2.487751	509.754989	0.039807	2426.965702	2.488070	4670.725032	7.481076	2016.287266	4.006770	9897.244908	14.786143
G7	2358.355854	2.078108	536.804226	0.046924	1821.551628	2.078638	3505.598278	5.883381	1513.318194	3.101443	7428.346663	11.705565
G8	4486.517428	2.912840	543.778669	0.043238	3942.738758	2.913161	7587.848726	10.891572	3275.569137	6.078725	16078.616629	21.128978
G9	3148.334641	2.019070	643.767135	0.042959	2504.567506	2.019527	4820.070648	7.091597	2080.757699	3.919433	10213.707583	13.821094
G10	3461.127572	2.272031	598.537570	0.046899	2862.590001	2.272515	5509.089297	8.067877	2378.197501	4.467092	11673.734938	15.710476
G11	3613.445365	2.733238	451.694247	0.066566	3161.751118	2.734049	6084.828507	9.151933	2626.736139	5.015439	12893.723682	17.906482
G12	2518.296085	1.917032	511.841284	0.051699	2006.454802	1.917729	3861.446686	6.016864	1666.933020	3.254363	8182.387807	11.841755
G13	2124.794154	1.855407	607.831831	0.057265	1516.962323	1.856291	2919.412454	5.066551	1260.269897	2.642182	6186.221592	10.124183
G14	1990.082003	1.520216	435.178916	0.047290	1554.903087	1.520952	2992.429916	4.704158	1291.790524	2.536252	6340.945259	9.271129
G15	3630.121128	2.213844	528.264687	0.066192	3101.856441	2.214834	5969.560471	8.493332	2576.976525	4.757177	12649.471244	16.448159
G16	2881.411282	2.235154	378.335917	0.042633	2503.075365	2.235561	4817.199004	7.324854	2079.518050	3.997684	10207.622583	14.358386
G17	3782.063346	3.851446	310.684802	0.049462	3471.378544	3.851764	6680.710256	11.069840	2883.970032	5.860313	14156.394374	21.986241
G18	3166.015879	3.648242	380.860390	0.055052	2785.155489	3.648658	5360.065636	9.634166	2313.866051	4.970333	11357.954484	19.332369
G19	3109.392328	2.676961	562.442263	0.052511	2546.950066	2.677476	4901.636399	7.933326	2115.968503	4.233579	10386.545036	15.704191
