# Online RefPMT LMS + Module Gain Results (Run: 1400)
# Trigger Condition: 1200 LMS events per fit
# Fit Event Absolute Time Range:
#   Start Time (UTC): 2016-06-17 08:04:20.537377 UTC
#   End Time (UTC):   2016-06-17 08:03:04.269482 UTC
#   Start Time (EDT): 2016-06-17 04:04:20.537377 EDT
#   End Time (EDT):   2016-06-17 04:03:04.269482 EDT
#   Average Time (UTC): 2016-06-17 08:03:42.403429 (UTC)
#   Average Time (seconds since epoch, UTC): 1466150622.403430
#   Average Time (EDT): 2016-06-17 04:03:42.403429 (EDT)
#   Average Time (seconds since epoch, EDT): 1466136222.403430
# Formula: Module Gain = (Module LMS Mean - Module Pedestal Mean) × RefPMT Alpha Signal / RefPMT LMS Signal
# Reference PMT Params:
# RefPMT1: AlphaSignal=4707.572755, AlphaError=14.810367, LMSSignal=2352.661435, LMSError=0.944189, Valid=Yes
# RefPMT2: AlphaSignal=1990.353796, AlphaError=2.889805, LMSSignal=2351.758333, LMSError=0.784419, Valid=Yes
# RefPMT3: AlphaSignal=5444.631768, AlphaError=4.047207, LMSSignal=1322.894546, LMSError=0.861313, Valid=Yes
# Note: -1.0 = Fit failed / Invalid data

# G module
# module name	LMS_Mean	LMS_Err	Pedestal_Mean	Pedestal_Err	module signal(LMS-Pedestal)	signal error	gain1(RefPMT1)	gain1 error	gain2(RefPMT2)	gain2 error	gain3(RefPMT3)	gain3 error
G1	3093.222204	2.358372	622.522363	0.051599	2470.699840	2.358936	4943.762448	16.374540	2091.017064	3.699893	10168.649408	13.972317
G2	3011.930005	2.572652	663.455727	0.048359	2348.474279	2.573106	4699.194438	15.768082	1987.574416	3.675525	9665.606155	14.260980
G3	4469.047699	3.408102	678.900812	0.064846	3790.146886	3.408719	7583.918346	25.001285	3207.699165	5.581890	15599.092315	20.842835
G4	3345.922046	2.651575	590.845666	0.043832	2755.076380	2.651937	5512.787480	18.271683	2331.692271	4.135590	11339.056789	15.642105
G5	3431.128788	3.251880	538.215177	0.038261	2892.913611	3.252105	5788.593757	19.478063	2448.347479	4.569316	11906.352926	17.820603
G6	2941.530438	2.641531	509.773859	0.043657	2431.756579	2.641891	4865.838683	16.312634	2058.058377	3.794634	10008.370784	14.698183
G7	2356.833395	2.108896	536.816743	0.047775	1820.016651	2.109437	3641.773812	12.297212	1540.327082	2.907348	7490.635222	11.408878
G8	4486.194610	3.278410	543.762026	0.044502	3942.432584	3.278713	7888.635374	25.865193	3336.582483	5.692681	16225.853949	20.956480
G9	3151.273015	2.128028	643.844198	0.042603	2507.428817	2.128454	5017.255525	16.472652	2122.101745	3.638549	10319.814710	13.443606
G10	3457.993412	2.195409	598.495444	0.047599	2859.497968	2.195925	5721.730516	18.671236	2420.066958	4.056060	11768.824300	14.728410
G11	3614.626534	2.566282	451.631215	0.068383	3162.995319	2.567193	6329.015457	20.719758	2676.924601	4.541338	13017.927128	16.646717
G12	2516.505747	2.042927	511.871271	0.053244	2004.634477	2.043621	4011.186015	13.362797	1696.573914	3.062565	8250.466063	11.713732
G13	2131.649209	1.865280	607.636786	0.054214	1524.012423	1.866068	3049.482282	10.367388	1289.811061	2.487211	6272.371808	9.869222
G14	1985.835307	1.589645	435.154680	0.047861	1550.680627	1.590366	3102.844193	10.342612	1312.381051	2.373604	6382.130028	9.089328
G15	3628.261173	2.162850	528.203660	0.057878	3100.057514	2.163624	6203.079659	20.144204	2623.658712	4.316208	12758.894257	15.435456
G16	2881.089685	2.087047	378.399720	0.044108	2502.689964	2.087513	5007.773288	16.422576	2118.091132	3.616306	10300.311033	13.319688
G17	3798.905224	3.992549	310.716901	0.050208	3488.188323	3.992864	6979.712453	23.534297	2952.143837	5.546242	14356.322670	21.709668
G18	3167.398884	3.892757	380.928532	0.067096	2786.470352	3.893335	5575.605447	19.323383	2358.261801	4.816589	11468.264835	19.626177
G19	3110.810285	2.611343	562.368582	0.054247	2548.441703	2.611907	5099.320519	16.996324	2156.812010	3.900020	10488.611280	14.932513
G20	2610.711127	2.380381	443.737407	0.051241	2166.973720	2.380933	4336.019749	14.553830	1833.965807	3.394820	8918.605035	13.179280
G21	3114.372563	2.064815	471.024104	0.051652	2643.348459	2.065461	5289.224791	17.276744	2237.134048	3.763333	10879.218634	13.705295
G22	4308.442101	3.161322	531.210447	0.050559	3777.231654	3.161726	7558.075531	24.791742	3196.768670	5.462576	15545.937146	20.132506
