# Online RefPMT LMS + Module Gain Results (Run: 1508)
# Trigger Condition: 1200 LMS events per fit
# Fit Event Absolute Time Range:
#   Start Time (UTC): 2016-06-22 00:16:34.000000 UTC
#   End Time (UTC):   2016-06-22 00:17:37.973570 UTC
#   Start Time (EDT): 2016-06-21 20:16:34.000000 EDT
#   End Time (EDT):   2016-06-21 20:17:37.973570 EDT
#   Average Time (UTC): 2016-06-22 00:17:05.986784 (UTC)
#   Average Time (seconds since epoch, UTC): 1466554625.986785
#   Average Time (EDT): 2016-06-21 20:17:05.986784 (EDT)
#   Average Time (seconds since epoch, EDT): 1466540225.986785
# Formula: Module Gain = (Module LMS Mean - Module Pedestal Mean) × RefPMT Alpha Signal / RefPMT LMS Signal
# Reference PMT Params:
# RefPMT1: AlphaSignal=-572.032898, AlphaError=0.099514, LMSSignal=2304.644874, LMSError=2.591843, Valid=No
# RefPMT2: AlphaSignal=2074.424821, AlphaError=2.186975, LMSSignal=2278.690758, LMSError=2.147468, Valid=Yes
# RefPMT3: AlphaSignal=5513.092031, AlphaError=7.854997, LMSSignal=1269.086473, LMSError=2.314126, Valid=Yes
# Note: -1.0 = Fit failed / Invalid data

# G module
# module name	LMS_Mean	LMS_Err	Pedestal_Mean	Pedestal_Err	module signal(LMS-Pedestal)	signal error	gain1(RefPMT1)	gain1 error	gain2(RefPMT2)	gain2 error	gain3(RefPMT3)	gain3 error
G1	3089.650597	2.446924	623.390151	0.048906	2466.260445	2.447412	0.000000	0.000000	2245.180425	3.878625	10713.785941	26.976196
G2	3103.539056	2.673123	664.489657	0.046905	2439.049399	2.673535	0.000000	0.000000	2220.408626	3.972681	10595.577287	27.130769
G3	4566.068968	3.758818	680.419840	0.055015	3885.649128	3.759221	0.000000	0.000000	3537.332554	6.060704	16879.812135	42.337749
G4	3361.235523	2.889041	592.295747	0.044391	2768.939776	2.889382	0.000000	0.000000	2520.727036	4.429948	12028.667977	30.534608
G5	3490.244913	3.738350	538.677287	0.037929	2951.567626	3.738543	0.000000	0.000000	2686.983797	5.100989	12822.029316	33.825319
G6	2871.012184	2.645749	510.848961	0.041782	2360.163223	2.646079	0.000000	0.000000	2148.593948	3.877339	10252.884526	26.364043
G7	2336.010352	2.004992	537.074363	0.046270	1798.935989	2.005526	0.000000	0.000000	1637.676133	2.948939	7814.833646	20.073467
G8	4587.823467	3.247864	543.741164	0.043891	4044.082303	3.248161	0.000000	0.000000	3681.563494	5.987167	17568.068368	43.033294
G9	3087.738954	2.028325	643.549772	0.045078	2444.189181	2.028825	0.000000	0.000000	2225.087668	3.648465	10617.905231	26.103696
G10	3454.330928	2.404987	598.684728	0.046027	2855.646200	2.405427	0.000000	0.000000	2599.660940	4.278900	12405.333007	30.549787
G11	3656.778178	2.680511	452.009972	0.065389	3204.768206	2.681309	0.000000	0.000000	2917.487022	4.793567	13921.968628	34.257744
G12	2449.244670	2.061279	511.940572	0.051391	1937.304098	2.061920	0.000000	0.000000	1763.640675	3.121387	8415.924379	21.436354
G13	2096.208354	1.785533	608.148377	0.054765	1488.059976	1.786372	0.000000	0.000000	1354.667605	2.512800	6464.344058	16.852181
G14	1989.348541	1.662776	435.330794	0.045817	1554.017747	1.663408	0.000000	0.000000	1414.712802	2.509007	6750.873987	17.212430
G15	3658.890112	2.219315	529.076819	0.050079	3129.813292	2.219880	0.000000	0.000000	2849.251202	4.507459	13596.353828	32.907917
G16	2958.825590	2.300316	378.616371	0.043757	2580.209219	2.300732	0.000000	0.000000	2348.914626	3.926764	11208.795611	27.797194
G17	3845.529251	3.891996	310.853605	0.050485	3534.675647	3.892324	0.000000	0.000000	3217.820967	5.767177	15355.133445	39.351191
G18	3152.361226	3.972453	381.798332	0.049732	2770.562893	3.972764	0.000000	0.000000	2522.204654	5.079424	12035.719030	32.765352
G19	3195.778783	2.696319	562.006379	0.051169	2633.772405	2.696805	0.000000	0.000000	2397.676311	4.186013	11441.481703	28.952743
G20	2589.788326	2.389731	443.569313	0.050892	2146.219013	2.390273	0.000000	0.000000	1953.828082	3.516867	9323.480466	23.944075
G21	3125.966355	2.169520	471.172101	0.050602	2654.794254	2.170110	0.000000	0.000000	2416.813724	3.947472	11532.803605	28.304089
G22	4483.619856	3.045900	531.749364	0.052417	3951.870492	3.046351	0.000000	0.000000	3597.617716	5.794095	17167.487156	41.873381
G23	794.305423	0.874795	392.333962	0.050580	401.971460	0.876256	0.000000	0.000000	365.938016	0.950844	1746.221162	5.551493
G24	3266.636405	2.451101	522.247967	0.042052	2744.388438	2.451462	0.000000	0.000000	2498.376524	4.178730	11922.013476	29.572709
G25	3182.532007	2.649857	371.077529	0.090172	2811.454478	2.651391	0.000000	0.000000	2559.430644	4.350260	12213.357888	30.519715
G26	4007.213844	2.850017	390.814497	0.094057	3616.399347	2.851569	0.000000	0.000000	3292.218807	5.330292	15710.152814	38.407304
G27	2128.048091	2.403999	413.585876	0.120479	1714.462215	2.407016	0.000000	0.000000	1560.774740	3.110084	7447.867564	20.158966
G28	1867.182175	2.187841	517.348485	0.090309	1349.833690	2.189704	0.000000	0.000000	1228.832171	2.644457	5863.869421	16.571596
G29	3794.061460	4.815379	330.054414	0.069072	3464.007047	4.815875	0.000000	0.000000	3153.487227	6.253473	15048.139001	40.623987
