# Online RefPMT LMS + Module Gain Results (Run: 1059)
# Trigger Condition: 1200 LMS events per fit
# Fit Event Absolute Time Range:
#   Start Time (UTC): 2016-06-05 00:25:05.880241 UTC
#   End Time (UTC):   2016-06-05 00:25:07.172847 UTC
#   Start Time (EDT): 2016-06-04 20:25:05.880241 EDT
#   End Time (EDT):   2016-06-04 20:25:07.172847 EDT
#   Average Time (UTC): 2016-06-05 00:25:06.526544 (UTC)
#   Average Time (seconds since epoch, UTC): 1465086306.526544
#   Average Time (EDT): 2016-06-04 20:25:06.526544 (EDT)
#   Average Time (seconds since epoch, EDT): 1465071906.526544
# Formula: Module Gain = (Module LMS Mean - Module Pedestal Mean) × RefPMT Alpha Signal / RefPMT LMS Signal
# Reference PMT Params:
# RefPMT1: AlphaSignal=4534.877617, AlphaError=6.723630, LMSSignal=2374.267170, LMSError=1.967276, Valid=Yes
# RefPMT2: AlphaSignal=1920.756422, AlphaError=2.257393, LMSSignal=2373.195516, LMSError=1.570052, Valid=Yes
# RefPMT3: AlphaSignal=5383.077254, AlphaError=7.090437, LMSSignal=1338.874610, LMSError=1.714013, Valid=Yes
# Note: -1.0 = Fit failed / Invalid data

# G module
# module name	LMS_Mean	LMS_Err	Pedestal_Mean	Pedestal_Err	module signal(LMS-Pedestal)	signal error	gain1(RefPMT1)	gain1 error	gain2(RefPMT2)	gain2 error	gain3(RefPMT3)	gain3 error
G1	5425.384661	4.421324	501.453066	0.046765	4923.931596	4.421571	9404.766010	18.068797	3985.206093	6.457124	19797.152221	40.476277
G2	4887.100103	4.429260	649.540028	0.045170	4237.560075	4.429491	8093.788508	16.141849	3429.688229	5.852181	17037.527885	36.007126
G3	7156.613775	5.875948	452.409691	0.064656	6704.204084	5.876304	12805.106950	24.474397	5426.077606	8.727718	26954.913203	54.859020
G4	5683.662739	5.002795	513.081814	0.040510	5170.580925	5.002959	9875.869068	19.304761	4184.832833	6.946243	20788.830157	43.158935
G5	5637.883405	5.461414	304.135238	0.038372	5333.748166	5.461549	10187.520376	20.204428	4316.892970	7.309995	21444.860130	45.097076
G6	5372.279538	5.279354	421.335318	0.040041	4950.944221	5.279505	9456.360435	18.964487	4007.068882	6.889429	19905.759142	42.277869
G7	4344.666177	4.177875	539.387624	0.047141	3805.278553	4.178141	7268.125825	14.699537	3079.819242	5.356140	15299.497422	32.740205
G8	7666.991866	6.346619	547.292091	0.046488	7119.699775	6.346789	13598.708501	26.084940	5762.360905	9.315783	28625.454574	58.444265
G9	5791.280521	3.816330	644.217976	0.040149	5147.062545	3.816542	9830.948691	18.219421	4165.798126	6.411469	20694.272193	40.991623
G10	6234.315940	4.262678	597.232185	0.045553	5637.083755	4.262921	10766.894841	20.017963	4562.398988	7.054489	22664.450758	45.020221
G11	6502.359740	4.852109	450.354620	0.052559	6052.005120	4.852393	11559.399423	21.710915	4898.217453	7.685335	24332.682996	48.766738
G12	5012.523844	4.351630	512.269506	0.050784	4500.254338	4.351927	8595.537572	16.799742	3642.301007	6.044566	18093.716055	37.559142
G13	3823.750994	3.899492	610.563631	0.052450	3213.187362	3.899845	6137.224838	12.811761	2600.607585	4.718504	12918.936443	28.441893
G14	3458.817117	3.121352	438.247738	0.048185	3020.569379	3.121724	5769.322273	11.470502	2444.711357	4.153869	12144.496857	25.595589
G15	6459.411006	4.096690	530.364791	0.043874	5929.046215	4.096925	11324.546500	20.765236	4798.700112	7.271886	23838.314600	46.782026
G16	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
G17	6942.299231	8.591732	315.541124	0.046483	6626.758107	8.591858	12657.184243	27.045570	5363.396358	10.033913	26643.534021	59.902596
G18	5937.155400	8.642867	383.816130	0.038364	5553.339270	8.642952	10606.941912	24.435200	4494.620014	9.256253	22327.747804	53.754063
G19	5238.154796	4.669353	561.951246	0.044675	4676.203551	4.669567	8931.602594	17.597659	3784.706290	6.351195	18801.137204	39.307372
G20	4819.099843	4.752799	446.446790	0.044047	4372.653053	4.753003	8351.817650	16.841560	3539.026335	6.130243	17580.682514	37.522960
G21	5606.078141	4.050169	473.151034	0.041915	5132.927107	4.050386	9803.949842	18.361081	4154.357547	6.491445	20637.439272	41.256832
G22	7210.636117	5.226863	540.043577	0.042639	6670.592540	5.227037	12740.908513	23.832024	5398.873952	8.421111	26819.774676	53.557994
G23	1185.979567	1.670988	393.859345	0.048523	792.120222	1.671693	1512.958740	4.098581	641.106050	1.605676	3184.797415	8.910392
G24	5834.877430	5.142364	524.235239	0.040218	5310.642191	5.142522	10143.387698	19.831513	4298.192046	7.136311	21351.960282	44.335605
G25	5852.233326	4.768781	373.390834	0.087129	5478.842493	4.769577	10464.652209	19.972534	4434.325713	7.118128	22028.226168	44.775719
G26	7028.141119	5.661601	396.448076	0.083261	6631.693043	5.662213	12666.610028	24.079187	5367.390470	8.567538	26663.375418	54.007782
G27	3752.223921	4.673239	417.013189	0.101802	3335.210732	4.674347	6370.290878	14.027722	2699.367745	5.250371	13409.543424	30.981763
