# Online RefPMT LMS + Module Gain Results (Run: 1400)
# Trigger Condition: 1200 LMS events per fit
# Fit Event Absolute Time Range:
#   Start Time (UTC): 2016-06-17 08:04:28.325292 UTC
#   End Time (UTC):   2016-06-17 08:02:57.008555 UTC
#   Start Time (EDT): 2016-06-17 04:04:28.325292 EDT
#   End Time (EDT):   2016-06-17 04:02:57.008555 EDT
#   Average Time (UTC): 2016-06-17 08:03:42.666923 (UTC)
#   Average Time (seconds since epoch, UTC): 1466150622.666924
#   Average Time (EDT): 2016-06-17 04:03:42.666923 (EDT)
#   Average Time (seconds since epoch, EDT): 1466136222.666924
# Formula: Module Gain = (Module LMS Mean - Module Pedestal Mean) × RefPMT Alpha Signal / RefPMT LMS Signal
# Reference PMT Params:
# RefPMT1: AlphaSignal=4772.467215, AlphaError=12.985471, LMSSignal=2345.240910, LMSError=0.909899, Valid=Yes
# RefPMT2: AlphaSignal=2002.518823, AlphaError=2.408951, LMSSignal=2345.284296, LMSError=0.760069, Valid=Yes
# RefPMT3: AlphaSignal=5462.194534, AlphaError=3.617294, LMSSignal=1316.620487, LMSError=0.830292, Valid=Yes
# Note: -1.0 = Fit failed / Invalid data

# G module
# module name	LMS_Mean	LMS_Err	Pedestal_Mean	Pedestal_Err	module signal(LMS-Pedestal)	signal error	gain1(RefPMT1)	gain1 error	gain2(RefPMT2)	gain2 error	gain3(RefPMT3)	gain3 error
G1	3089.734491	2.343510	622.529095	0.047757	2467.205396	2.343996	5020.659845	14.600121	2106.621040	3.300585	10235.565954	13.497242
G2	3014.798714	2.513748	663.429181	0.045035	2351.369534	2.514152	4784.938708	14.111227	2007.714697	3.296197	9755.003772	13.724775
G3	4469.785388	3.531755	678.867425	0.066192	3790.917963	3.532375	7714.359584	22.387793	3236.871789	5.035801	15727.183031	20.532866
G4	3344.182818	2.626904	590.832108	0.042195	2753.350710	2.627243	5602.953598	16.301025	2350.945952	3.689292	11422.682049	15.096731
G5	3435.848596	3.306097	538.285505	0.035834	2897.563091	3.306292	5896.419764	17.547089	2474.081559	4.179778	12020.968408	17.578040
G6	2933.325212	2.592753	509.808080	0.040107	2423.517132	2.593063	4931.756054	14.545511	2069.317856	3.398319	10054.318738	14.151475
G7	2354.361340	2.183336	536.852406	0.047022	1817.508934	2.183842	3698.554704	11.094208	1551.878319	2.686088	7540.204232	11.385438
G8	4475.808874	3.011643	543.794905	0.043682	3932.013969	3.011959	8001.484059	22.829718	3357.346483	4.910129	16312.540651	19.459302
G9	3156.986198	2.053175	643.831944	0.041623	2513.154253	2.053597	5114.163849	14.664024	2145.854430	3.197151	10426.191575	12.786300
G10	3457.218487	2.214904	598.401291	0.044263	2858.817196	2.215346	5817.573488	16.612604	2440.998413	3.581404	11860.225341	14.216187
G11	3616.482292	2.514540	451.560721	0.067698	3164.921571	2.515451	6440.483095	18.426524	2702.365350	3.993504	13130.144549	15.908313
G12	2521.469833	2.074166	511.759906	0.048285	2009.709927	2.074728	4089.675691	12.006975	1715.988958	2.776455	8337.578437	11.498610
G13	2126.230105	1.871861	607.639731	0.053592	1518.590374	1.872628	3090.267930	9.309106	1296.646983	2.272933	6300.096439	9.671981
G14	1988.004472	1.649906	435.100429	0.047049	1552.904043	1.650577	3160.094813	9.312176	1325.945678	2.171434	6442.451764	9.033229
G15	3628.987889	2.220668	528.182752	0.062100	3100.805136	2.221536	6310.008831	17.922181	2647.619592	3.805052	12864.148051	14.944213
G16	2876.353011	2.103400	378.393032	0.042148	2497.959979	2.103822	5083.244136	14.612205	2132.880813	3.207467	10363.155884	12.883611
G17	3789.005820	3.716256	310.713163	0.048665	3478.292657	3.716574	7078.180155	20.872353	2969.936961	4.874541	14430.210779	20.294615
G18	3168.925694	3.794195	380.926196	0.066372	2787.999497	3.794776	5673.462432	17.400537	2380.530787	4.392557	11566.427661	18.966377
G19	3110.254741	2.663440	562.307291	0.052616	2547.947450	2.663959	5184.966549	15.246828	2175.562568	3.538404	10570.536289	14.682725
G20	2610.621394	2.323641	443.809036	0.049253	2166.812358	2.324163	4409.372570	13.009074	1850.130723	3.041569	8989.341073	12.670701
G21	3114.202098	2.162374	471.058546	0.049238	2643.143552	2.162934	5378.686638	15.424309	2256.845672	3.363980	10965.471378	13.456275
